Channel,Compound,Date,Negative,Neutral,Positive,Tweet,Tweet_Number
@BBC,0.4019,Sun Dec 10 20:24:19 +0000 2017,0.0,0.87,0.13,"RT @BBCOne: Our rubbish, our responsibility. ✊ #BluePlanet2 

Find out more about what you can do to help: https://t.co/LiA3x5I2gk. https:/…",71
@BBC,0.9169,Sun Dec 10 20:20:04 +0000 2017,0.0,0.482,0.518,Eight delightful dolphin photos that'll inspire you to help clean up our oceans. #BluePlanet2 🐬❤️️… https://t.co/PP5l7QrqFP,72
@BBC,0.0,Sun Dec 10 20:14:12 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: ‘We’re only now beginning to realise what an impact noise is having on the inhabitants of the ocean’ – David Attenborough
#Bl…",73
@BBC,-0.5267,Sun Dec 10 20:04:45 +0000 2017,0.152,0.848,0.0,"RT @BBCOne: ""The oceans are under threat now as never ever before in human history."" - Sir David Attenborough. #BluePlanet2 https://t.co/yn…",74
@BBC,0.0,Sun Dec 10 19:58:55 +0000 2017,0.0,1.0,0.0,"RT @BBCEarth: The countdown is on! The final episode of #BluePlanet2: Our Blue Planet starts 8pm GMT on @BBCOne, BBC Earth Nordics &amp; @BBCEa…",75
@BBC,0.5106,Sun Dec 10 19:58:19 +0000 2017,0.0,0.837,0.163,"RT @BBCSpringwatch: Seven British conservation heroes you should know about - this lot deserve endless 👏🏽👏🏽
#BluePlanet2 #OurBluePlanet 
ht…",76
@BBC,0.7096,Sun Dec 10 19:50:01 +0000 2017,0.0,0.604,0.396,"'Good luck, little leatherback' - Sir David Attenborough 🐢

#BluePlanet2 | 8PM | @BBCOne https://t.co/vMliWBZFBE",77
@BBC,-0.1803,Sun Dec 10 19:30:02 +0000 2017,0.213,0.602,0.185,"'There's a huge bomb up there. I'm 76% sure. It's not like the penguin hostage situation.' 🐧😂
#ScotSquad via… https://t.co/x8I92iMImk",78
@BBC,0.6249,Sun Dec 10 19:00:02 +0000 2017,0.0,0.797,0.203,Miles of cable and thousands of twinkling bulbs have been used to create the longest festive tunnel of light in Eur… https://t.co/C22wpljo2u,79
@BBC,0.5574,Sun Dec 10 18:33:05 +0000 2017,0.0,0.816,0.184,"Tonight, David Attenborough investigates the remarkable story of Jumbo the elephant. Attenborough and the Giant Ele… https://t.co/4NK1B5ZNwr",80
